virtualbox 4.3.12-1
virtualbox-host-dkms 4.3.12-1
virtualbox-host-modules 4.3.12-2
vlc 2.1.4-2
vpnc 0.5.3.svn527-2
vte 0.28.2-4
vte-common 0.36.2-1
wavpack 4.70.0-2
wayland 1.5.0-1
webkitgtk 2.4.2-1
wget 1.15-1
which 2.20-6
wildmidi 0.3.6-1
wireless_tools 30.pre9-1
wpa_supplicant 2.1-3
x264 1:142.20140311-1
x265 1.0-1
xarchiver 0.5.3-4
xbitmaps 1.1.1-2
xcb-proto 1.10-2
xcb-util 0.3.9-1
xcb-util-cursor 0.1.1-1
xcb-util-image 0.3.9-1
xcb-util-keysyms 0.3.9-1
xcb-util-renderutil 0.3.8-1
xcb-util-wm 0.4.1-1
xclip 0.12-3
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-user-dirs 0.15-1
xdg-utils 1.1.0.git20140207-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.0-1
xf86-input-joystick 1.6.2-3
xf86-input-keyboard 1.8.0-2
xf86-input-mouse 1.9.0-2
xf86-input-synaptics 1.8.0-1
xf86-input-vmmouse 13.0.0-3
xf86-input-void 1.4.0-6
xf86-video-ark 0.7.5-4
xf86-video-ast 0.97.0-4
xf86-video-ati 1:7.3.0-1
xf86-video-cirrus 1.5.2-3
xf86-video-dummy 0.3.7-2
xf86-video-fbdev 0.4.4-2
xf86-video-glint 1.2.8-4
xf86-video-i128 1.3.6-4
xf86-video-intel 2.99.911-2
xf86-video-mach64 6.9.4-3
xf86-video-mga 1.6.3-2
xf86-video-modesetting 0.8.1-2
xf86-video-neomagic 1.2.8-2
xf86-video-nouveau 1.0.10-2
xf86-video-nv 2.1.20-4
xf86-video-openchrome 0.3.3-3
xf86-video-r128 6.9.2-2
xf86-video-savage 2.3.7-2
xf86-video-siliconmotion 1.7.7-4
xf86-video-sis 0.10.7-5
xf86-video-tdfx 1.4.5-4
xf86-video-trident 1.3.6-5
xf86-video-v4l 0.2.0-13
xf86-video-vesa 2.3.2-4
xf86-video-vmware 13.0.2-1
xf86-video-voodoo 1.2.5-4
xf86dgaproto 2.1-2
xf86vidmodeproto 2.3.1-2
xfce4-notifyd 0.2.4-1
xfce4-volumed 0.1.13-7
xfconf 4.10.0-3
xfsprogs 3.1.11-2
xineramaproto 1.2.1-2
xkeyboard-config 2.12-1
xorg-bdftopcf 1.0.4-1
xorg-docs 1.7-1
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-100dpi 1.0.1-4
xorg-fonts-75dpi 1.0.3-1
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.15.1-1
xorg-server-common 1.15.1-1
xorg-sessreg 1.0.8-1
xorg-setxkbmap 1.3.0-1
xorg-smproxy 1.0.5-1
xorg-x11perf 1.5.4-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.4-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.1-1
xorg-xdriinfo 1.0.4-3
xorg-xev 1.2.1-1
xorg-xgamma 1.0.5-1
xorg-xhost 1.0.6-1
xorg-xinit 1.3.3-3
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-1
xorg-xkbevd 1.1.3-1
xorg-xkbutils 1.0.4-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.1-1
xorg-xlsclients 1.1.3-1
xorg-xmessage 1.0.4-1
xorg-xmodmap 1.0.8-1
xorg-xpr 1.0.4-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.4.2-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-1
xorg-xvinfo 1.1.2-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-1
xproto 7.0.26-1
xterm 304-1
xvidcore 1.3.3-1
xz 5.0.5-2
yajl 2.1.0-1
yaourt 1.3-1
zip 3.0-3
zlib 1.2.8-3
zsh 5.0.5-1
zvbi 0.2.33-6
